Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,1,7,average+2sigma,0.0000
CSTR,1,7,average+3sigma,0.0000
CSTR,1,7,average-1sigma,0.0000
CSTR,1,7,average-2sigma,0.0000
CSTR,1,7,average-3sigma,0.0000
CSTR,1,7,average,0.0000
CSTR,1,7,minimum,0.0000
CSTR,1,9,0.05,0.4752
CSTR,1,9,0.10,0.3266
CSTR,1,9,0.15,0.2057
CSTR,1,9,0.20,0.1465
CSTR,1,9,0.25,0.1019
CSTR,1,9,0.30,0.0681
CSTR,1,9,0.35,0.0469
CSTR,1,9,0.40,0.0309
CSTR,1,9,0.45,0.0189
CSTR,1,9,0.50,0.0143
CSTR,1,9,0.55,0.0119
CSTR,1,9,0.60,0.0025
CSTR,1,9,0.65,0.0025
CSTR,1,9,0.70,0.0025
CSTR,1,9,0.75,0.0015
CSTR,1,9,0.80,0.0015
CSTR,1,9,0.85,0.0015
CSTR,1,9,0.90,0.0004
CSTR,1,9,0.95,0.0004
CSTR,1,9,average+1sigma,0.0000
CSTR,1,9,average+2sigma,0.0000
CSTR,1,9,average+3sigma,0.0000
CSTR,1,9,average-1sigma,0.0000
CSTR,1,9,average-2sigma,0.0000
CSTR,1,9,average-3sigma,0.0000
CSTR,1,9,average,0.0000
CSTR,1,9,minimum,0.0000
CSTR,10,11,0.05,0.6572
CSTR,10,11,0.10,0.2992
CSTR,10,11,0.15,0.0646
CSTR,10,11,0.20,0.0120
CSTR,10,11,0.25,0.0045
CSTR,10,11,0.30,0.0000
CSTR,10,11,0.35,0.0000
CSTR,10,11,0.40,0.0000
CSTR,10,11,0.45,0.0000
CSTR,10,11,0.50,0.0000
CSTR,10,11,0.55,0.0000
CSTR,10,11,0.60,0.0000
CSTR,10,11,0.65,0.0000
CSTR,10,11,0.70,0.0000
CSTR,10,11,0.75,0.0000
CSTR,10,11,0.80,0.0000
CSTR,10,11,0.85,0.0000
CSTR,10,11,0.90,0.0000
CSTR,10,11,0.95,0.0000
CSTR,10,11,average+1sigma,0.0117
CSTR,10,11,average+2sigma,0.0085
CSTR,10,11,average+3sigma,0.0081
CSTR,10,11,average-1sigma,0.0261
CSTR,10,11,average-2sigma,0.0384
CSTR,10,11,average-3sigma,0.0678
CSTR,10,11,average,0.0149
CSTR,10,11,minimum,0.1484
CSTR,10,13,0.05,0.6572
CSTR,10,13,0.10,0.2992
CSTR,10,13,0.15,0.0646
CSTR,10,13,0.20,0.0120
CSTR,10,13,0.25,0.0045
CSTR,10,13,0.30,0.0000
CSTR,10,13,0.35,0.0000
CSTR,10,13,0.40,0.0000
CSTR,10,13,0.45,0.0000
CSTR,10,13,0.50,0.0000
CSTR,10,13,0.55,0.0000
CSTR,10,13,0.60,0.0000
CSTR,10,13,0.65,0.0000
CSTR,10,13,0.70,0.0000
CSTR,10,13,0.75,0.0000
CSTR,10,13,0.80,0.0000
CSTR,10,13,0.85,0.0000
CSTR,10,13,0.90,0.0000
CSTR,10,13,0.95,0.0000
CSTR,10,13,average+1sigma,0.0117
CSTR,10,13,average+2sigma,0.0085
CSTR,10,13,average+3sigma,0.0081
CSTR,10,13,average-1sigma,0.0261
CSTR,10,13,average-2sigma,0.0384
CSTR,10,13,average-3sigma,0.0678
CSTR,10,13,average,0.0149
CSTR,10,13,minimum,0.1484
CSTR,10,15,0.05,0.6572
CSTR,10,15,0.10,0.2992
CSTR,10,15,0.15,0.0646
CSTR,10,15,0.20,0.0120
CSTR,10,15,0.25,0.0045
CSTR,10,15,0.30,0.0000
CSTR,10,15,0.35,0.0000
CSTR,10,15,0.40,0.0000
CSTR,10,15,0.45,0.0000
CSTR,10,15,0.50,0.0000
CSTR,10,15,0.55,0.0000
CSTR,10,15,0.60,0.0000
CSTR,10,15,0.65,0.0000
CSTR,10,15,0.70,0.0000
CSTR,10,15,0.75,0.0000
CSTR,10,15,0.80,0.0000
CSTR,10,15,0.85,0.0000
CSTR,10,15,0.90,0.0000
CSTR,10,15,0.95,0.0000
CSTR,10,15,average+1sigma,0.0117
CSTR,10,15,average+2sigma,0.0085
CSTR,10,15,average+3sigma,0.0081
CSTR,10,15,average-1sigma,0.0261
CSTR,10,15,average-2sigma,0.0384
CSTR,10,15,average-3sigma,0.0678
CSTR,10,15,average,0.0149
CSTR,10,15,minimum,0.1484
CSTR,10,17,0.05,0.6572
CSTR,10,17,0.10,0.2992
CSTR,10,17,0.15,0.0646
CSTR,10,17,0.20,0.0120
CSTR,10,17,0.25,0.0045
CSTR,10,17,0.30,0.0000
CSTR,10,17,0.35,0.0000
CSTR,10,17,0.40,0.0000
CSTR,10,17,0.45,0.0000
CSTR,10,17,0.50,0.0000
CSTR,10,17,0.55,0.0000
CSTR,10,17,0.60,0.0000
CSTR,10,17,0.65,0.0000
CSTR,10,17,0.70,0.0000
CSTR,10,17,0.75,0.0000
CSTR,10,17,0.80,0.0000
CSTR,10,17,0.85,0.0000
CSTR,10,17,0.90,0.0000
CSTR,10,17,0.95,0.0000
CSTR,10,17,average+1sigma,0.0117
CSTR,10,17,average+2sigma,0.0085
CSTR,10,17,average+3sigma,0.0081
CSTR,10,17,average-1sigma,0.0261
CSTR,10,17,average-2sigma,0.0384
CSTR,10,17,average-3sigma,0.0678
CSTR,10,17,average,0.0149
CSTR,10,17,minimum,0.1484
CSTR,10,19,0.05,0.6572
CSTR,10,19,0.10,0.2992
CSTR,10,19,0.15,0.0646
CSTR,10,19,0.20,0.0120
CSTR,10,19,0.25,0.0045
CSTR,10,19,0.30,0.0000
CSTR,10,19,0.35,0.0000
CSTR,10,19,0.40,0.0000
CSTR,10,19,0.45,0.0000
CSTR,10,19,0.50,0.0000
CSTR,10,19,0.55,0.0000
CSTR,10,19,0.60,0.0000
CSTR,10,19,0.65,0.0000
CSTR,10,19,0.70,0.0000
CSTR,10,19,0.75,0.0000
CSTR,10,19,0.80,0.0000
CSTR,10,19,0.85,0.0000
CSTR,10,19,0.90,0.0000
CSTR,10,19,0.95,0.0000
CSTR,10,19,average+1sigma,0.0117
